Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Food & Beverages,Inflight Entertainment,Distance,Is_stop,Seat Type,Type Of Traveller,Flight Length,Recommended
5.0,5.0,5.0,5.0,5.0,4.0,1441.3110172326344,1,Economy Class,Solo Leisure,Middle-Haul,1.0
2.0,4.0,1.0,1.0,2.0,,232.7729895871047,0,Economy Class,Couple Leisure,Short-Haul,0.0
1.0,4.0,3.0,3.0,4.0,,2395.0466154319115,0,Economy Class,Business,Middle-Haul,1.0
4.0,4.0,4.0,2.0,2.0,,949.2514148360628,0,Economy Class,Business,Short-Haul,0.0
3.0,4.0,1.0,2.0,2.0,,1053.4726048757093,0,Economy Class,Family Leisure,Middle-Haul,0.0
4.0,5.0,1.0,3.0,1.0,,1995.2197745775557,1,Economy Class,Couple Leisure,Middle-Haul,0.0
5.0,5.0,4.0,1.0,5.0,,1803.3683602719495,0,Economy Class,Business,Middle-Haul,1.0
1.0,1.0,1.0,1.0,,,743.6149704975809,0,Economy Class,Family Leisure,Short-Haul,0.0
5.0,5.0,5.0,5.0,5.0,5.0,1750.0540374732702,1,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,5.0,1984.4015834953295,0,Business Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,5.0,4.0,5.0,3.0,2375.289051965317,0,Economy Class,Family Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,3.0,1152.1038533530657,0,Economy Class,Solo Leisure,Middle-Haul,1.0
3.0,3.0,1.0,2.0,1.0,,319.2158356372218,0,Business Class,Couple Leisure,Short-Haul,0.0
4.0,5.0,5.0,5.0,4.0,,2375.289051965317,0,Economy Class,Couple Leisure,Middle-Haul,1.0
2.0,2.0,1.0,2.0,,,2627.728068989447,1,Economy Class,Family Leisure,Middle-Haul,0.0
4.0,5.0,5.0,5.0,5.0,,949.2514148360628,0,Economy Class,Business,Short-Haul,1.0
1.0,1.0,1.0,1.0,,,1669.1396337360923,1,Economy Class,Solo Leisure,Middle-Haul,0.0
4.0,4.0,4.0,5.0,3.0,,1227.7727700585385,0,Economy Class,Business,Middle-Haul,1.0
3.0,2.0,3.0,3.0,4.0,,2395.0466154319115,0,Economy Class,Solo Leisure,Middle-Haul,1.0
1.0,3.0,3.0,1.0,2.0,,2412.9923073321484,0,Economy Class,Business,Middle-Haul,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1282.6070152243535,0,Economy Class,Couple Leisure,Middle-Haul,0.0
3.0,4.0,4.0,3.0,1.0,,949.2514148360628,0,Economy Class,Business,Short-Haul,0.0
2.0,2.0,2.0,1.0,3.0,,302.7087435940903,0,Economy Class,Family Leisure,Short-Haul,0.0
3.0,4.0,2.0,3.0,2.0,1.0,276.0273586755396,0,Economy Class,Solo Leisure,Short-Haul,1.0
4.0,5.0,4.0,2.0,5.0,2.0,1053.0220436154243,1,Economy Class,Couple Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,3.0,2376.6484008026655,0,Economy Class,Family Leisure,Middle-Haul,1.0
5.0,5.0,5.0,3.0,5.0,3.0,2907.708862471036,1,Economy Class,Solo Leisure,Middle-Haul,1.0
4.0,5.0,5.0,5.0,4.0,3.0,2099.09436860138,0,Economy Class,Family Leisure,Middle-Haul,1.0
5.0,5.0,4.0,3.0,3.0,2.0,2395.0466154319115,0,Business Class,Business,Middle-Haul,1.0
1.0,1.0,1.0,2.0,1.0,,319.2158356372218,0,Economy Class,Business,Short-Haul,0.0
,,1.0,3.0,,,2099.09436860138,0,Economy Class,Business,Middle-Haul,0.0
5.0,5.0,5.0,4.0,5.0,5.0,2166.1013466838585,0,Business Class,Business,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,3.0,2395.0466154319115,0,Economy Class,Family Leisure,Middle-Haul,1.0
4.0,5.0,4.0,5.0,5.0,5.0,743.6149704975809,0,Economy Class,Solo Leisure,Short-Haul,1.0
4.0,4.0,4.0,4.0,3.0,1.0,494.5920913139437,0,Economy Class,Couple Leisure,Short-Haul,1.0
4.0,5.0,5.0,4.0,5.0,2.0,3258.804607417398,1,Economy Class,Solo Leisure,Middle-Haul,1.0
3.0,3.0,2.0,1.0,,,1120.1103105870184,0,Economy Class,Solo Leisure,Middle-Haul,0.0
2.0,3.0,1.0,1.0,2.0,,3514.07325965341,1,Economy Class,Solo Leisure,Middle-Haul,0.0
5.0,5.0,5.0,5.0,5.0,,2859.586328850114,0,Economy Class,Solo Leisure,Middle-Haul,1.0
3.0,5.0,3.0,5.0,4.0,1.0,1535.1271329638073,0,Economy Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,4.0,1497.0725379270978,0,Economy Class,Business,Middle-Haul,1.0
3.0,4.0,3.0,4.0,4.0,,2376.6484008026655,0,Economy Class,Business,Middle-Haul,1.0
4.0,4.0,4.0,4.0,4.0,,1297.7067926884677,0,Economy Class,Solo Leisure,Middle-Haul,1.0
4.0,4.0,4.0,5.0,,,2099.09436860138,0,Economy Class,Solo Leisure,Middle-Haul,1.0
5.0,5.0,5.0,5.0,5.0,,2616.175374182805,1,Economy Class,Couple Leisure,Middle-Haul,0.0
4.0,5.0,5.0,5.0,5.0,,572.0400325034866,0,Business Class,Solo Leisure,Short-Haul,1.0
4.0,2.0,1.0,5.0,4.0,,2139.933937305658,1,Economy Class,Couple Leisure,Middle-Haul,1.0
3.0,3.0,1.0,2.0,,,302.7087435940903,0,Business Class,Family Leisure,Short-Haul,0.0
3.0,2.0,1.0,2.0,1.0,,1227.7727700585385,0,Business Class,Family Leisure,Middle-Haul,0.0
,,1.0,1.0,,,3514.07325965341,1,Economy Class,Family Leisure,Middle-Haul,0.0
2.0,1.0,1.0,1.0,2.0,,2024.2335424143541,0,Economy Class,Family Leisure,Middle-Haul,0.0
3.0,1.0,2.0,1.0,1.0,,1412.5526421894294,0,Business Class,Solo Leisure,Middle-Haul,0.0
5.0,5.0,5.0,5.0,5.0,3.0,949.2514148360628,0,Economy Class,Solo Leisure,Short-Haul,1.0
