,Aircraft with seatmap,Seat Pitch,Seat Width,Seat Type,Video Type,Laptop Power,Power Type,Wi-Fi,Class,Company
2120,Boeing 747-400 (744) Layout 2,38,20,Angle Lie Flat,Seatback TV,None,None,No,Business class,Rossiya
2121,Boeing 747-400 (744) Layout 3,78,27,Flat Bed,Seatback TV,None,None,No,Business class,Rossiya
2122,Boeing 747-400 (744) Layout 3,60,20,Angle Lie Flat,Seatback TV,None,None,No,Business class,Rossiya
2123,Boeing 777-300 (773),78,27,Open Suite,Seatback TV,None,None,No,Business class,Rossiya
2124,Boeing 777-300 (773),38,20,Recliner,Seatback TV,None,None,No,Business class,Rossiya
2125,Boeing 777-300ER (77W),38,20,Recliner,Seatback TV,None,None,No,Business class,Rossiya
2126,Airbus A319-100 (319) Layout 1,31-33,18,Standard,None,None,None,No,Economy class,Rossiya
2127,Airbus A319-100 (319) Layout 2,31-33,18,Standard,None,None,None,No,Economy class,Rossiya
2128,Airbus A320-200 (320) Layout 1,31-33,18,Standard,None,None,None,No,Economy class,Rossiya
2129,Airbus A320-200 (320) Layout 2,31-33,18,Standard,None,None,None,No,Economy class,Rossiya
2130,Boeing 737-800 (738) Layout 1,30-32,17,Standard,None,None,None,No,Economy class,Rossiya
2131,Boeing 737-800 (738) Layout 2,31-33,17,Standard,None,None,None,No,Economy class,Rossiya
2132,Boeing 737-800 (738) Layout 3,30-32,17,Standard,None,None,None,No,Economy class,Rossiya
2133,Boeing 737-800 (738) Layout 4,30-32,17,Standard,None,None,None,No,Economy class,Rossiya
2134,Airbus A319-100 (319) Layout 1,36,20,Recliner,None,None,None,No,Business class,Rossiya
2135,Airbus A319-100 (319) Layout 2,36,18,Standard,None,None,None,No,Business class,Rossiya
2136,Airbus A320-200 (320) Layout 1,36,20,Recliner,None,None,None,No,Business class,Rossiya
2137,Airbus A320-200 (320) Layout 2,36,20,Recliner,None,None,None,No,Business class,Rossiya
2138,Boeing 737-800 (738) Layout 2,38,20,Recliner,None,None,None,No,Business class,Rossiya
2139,Boeing 737-800 (738) Layout 4,38,20,Recliner,None,None,None,No,Business class,Rossiya
2140,Boeing 767-300ER (76W) Layout 1,30-32,17,Standard,On-Demand TV,None,None,No,Economy class,Royal Air Maroc
2141,Boeing 767-300ER (76W) Layout 2,30-32,17,Standard,On-Demand TV,None,None,No,Economy class,Royal Air Maroc
2142,Boeing 767-300ER (76W) Layout 3,30-32,17,Standard,On-Demand TV,None,None,No,Economy class,Royal Air Maroc
2143,Boeing 787-8 (788),30-32,17,Standard,On-Demand TV,None,None,No,Economy class,Royal Air Maroc
2144,Boeing 787-9 (789),32,17,Standard,On-Demand TV,None,None,No,Economy class,Royal Air Maroc
2145,Boeing 767-300ER (76W) Layout 1,70,21,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Royal Air Maroc
2146,Boeing 767-300ER (76W) Layout 2,70,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Royal Air Maroc
2147,Boeing 767-300ER (76W) Layout 3,70,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Royal Air Maroc
2148,Boeing 787-8 (788),70,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Royal Air Maroc
2149,Boeing 787-9 (789),80,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Royal Air Maroc
2150,Boeing 737-700 (73G),30-32,17,Standard,Overhead TV,None,None,No,Economy class,Royal Air Maroc
2151,Boeing 737-800 (738),32,17,Standard,Overhead TV,None,None,No,Economy class,Royal Air Maroc
2152,Embraer E-190 (E90),32,17,Standard,None,None,None,No,Economy class,Royal Air Maroc
2153,Boeing 737-700 (73G),36,21,Recliner,Overhead TV,None,None,No,Business class,Royal Air Maroc
2154,Boeing 737-800 (738),36,21,Recliner,Overhead TV,None,None,No,Business class,Royal Air Maroc
2155,Embraer E-190 (E90),36,21,Recliner,None,None,None,No,Business class,Royal Air Maroc
2156,ATR 72-600 (AT7),30,17,Standard,None,None,None,No,Economy class,Royal Air Maroc
2157,ATR 72-600 (AT7),30,17,Standard,None,None,None,No,Business class,Royal Air Maroc
2158,Boeing 787-8 (788),32,17.2,Standard,Seatback TV,All Seats,AC Power,No,Economy class,Royal Brunei
2159,Boeing 787-8 (788),79,21.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Royal Brunei
2160,Airbus A320 (320) Layout 1,31-32,17.5,Standard,Overhead TV,None,None,No,Economy class,Royal Brunei
2161,Airbus A320 (320) Layout 2,30,18.0,Standard,Overhead TV,None,None,No,Economy class,Royal Brunei
2162,Airbus A320 (320) Layout 2,32,18.0,Standard,Overhead TV,None,None,No,Economy class,Royal Brunei
2163,Airbus A320 (320) Layout 1,44,21.0,Recliner,Seatback TV,All Seats,AC Power,No,Business class,Royal Brunei
2164,Airbus A320 (320) Layout 2,42,21.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Royal Brunei
2165,Airbus A330-200 (332),31-32,18.0,Standard,On-Demand TV,None,None,No,Economy class,Royal Jordanian
2166,Boeing 787-8 (788),32,17.0,Standard,On-Demand TV,None,None,No,Economy class,Royal Jordanian
2167,Airbus A330-200 (332),62,22.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Royal Jordanian
2168,Boeing 787-8 (788),60,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Royal Jordanian
2169,Airbus A319 (319),32-33,17.0,Standard,On-Demand TV,None,None,No,Economy class,Royal Jordanian
2170,Airbus A320 (320),32,17.7,Standard,On-Demand TV,None,None,No,Economy class,Royal Jordanian
2171,Airbus A321 (321),32,17.5,Standard,On-Demand TV,None,None,No,Economy class,Royal Jordanian
2172,Embraer ERJ-175 (E75),31,18.0,Standard,None,None,None,No,Economy class,Royal Jordanian
2173,Embraer ERJ-195 (E95),33,18.25,Standard,None,None,None,No,Economy class,Royal Jordanian
2174,Airbus A319 (319),46,21.0,Recliner,On-Demand TV,None,None,No,Business class,Royal Jordanian
2175,Airbus A320 (320),46,21.0,Recliner,On-Demand TV,None,None,No,Business class,Royal Jordanian
2176,Airbus A321 (321),46,19.0,Recliner,On-Demand TV,None,None,No,Business class,Royal Jordanian
2177,Embraer ERJ-175 (E75),40,19.0,Recliner,None,None,None,No,Business class,Royal Jordanian
2178,Embraer ERJ-195 (E95),42,19.0,Recliner,None,None,None,No,Business class,Royal Jordanian
2179,Airbus A330-200 (332),32,18,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,RwandAir
2180,Airbus A330-300 (333),32,18,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,RwandAir
2181,Airbus A330-200 (332),38,19,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,RwandAir
2182,Airbus A330-300 (333),38,19,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,RwandAir
2183,Airbus A330-200 (332),45,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,RwandAir
2184,Airbus A330-300 (333),45,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,RwandAir
2185,Boeing 737-700 (737),31-34,17,Standard,Overhead TV,None,None,No,Economy class,RwandAir
2186,Boeing 737-800 (738),31-34,17,Standard,Overhead TV,None,None,No,Economy class,RwandAir
2187,Boeing 737-700 (737),38,21,Recliner,Overhead TV,None,None,No,Business class,RwandAir
2188,Boeing 737-800 (738),38,20,Recliner,Overhead TV,None,None,No,Business class,RwandAir
2189,Bombardier CRJ-900 (CR9),31,17,Standard,None,None,None,No,Economy class,RwandAir
2190,Bombardier CRJ-900 (CR9),36,19,Recliner,None,None,None,No,Business class,RwandAir
2191,Bombardier Dash 8 Q400 (DH4),31,17,Standard,None,None,None,No,Economy class,RwandAir
2192,Bombardier Dash 8 Q400 (DH4),36,19,Recliner,None,None,None,No,Business class,RwandAir
2193,Boeing 737-800 (738),30,17,Standard,None,None,None,No,Economy class,Ryanair
2194,Boeing 737-800 (738),32-34,17,Standard,None,None,None,No,Economy class,Ryanair
2195,Airbus A319 (319),30-33,17-18,Standard,None,None,None,No,Economy class,S7
2196,Airbus A320 (320) Layout 1,30-33,17-18,Standard,None,None,None,No,Economy class,S7
2197,Airbus A320 (320) Layout 2,30-33,17-18,Standard,None,None,None,No,Economy class,S7
2198,Airbus A320 (320) Layout 3,30-33,17-18,Standard,None,None,None,No,Economy class,S7
2199,Airbus A321 (321),30-33,17-18,Standard,None,None,None,No,Economy class,S7
2200,Boeing 737-800 (738),29-32,17-20,Standard,None,None,None,No,Economy class,S7
2201,Airbus A320 (320) Layout 1,32-38,17-21,Recliner,None,None,None,No,Business class,S7
2202,Airbus A320 (320) Layout 2,32-38,17-21,Recliner,None,All Seats,AC Power,No,Business class,S7
2203,Airbus A321 (321),32-38,17-21,Recliner,None,None,None,No,Business class,S7
2204,Boeing 737-800 (738),35-39,19-21,Recliner,None,None,None,No,Business class,S7
2205,Airbus A330-300 (333),31-32,17.3,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,SAS Airlines
2206,Airbus A340-300 (343),31-32,17.3,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,SAS Airlines
2207,Airbus A350-900 (359),31-32,17.0,Standard,On-Demand TV,None,None,No,Economy class,SAS Airlines
2208,Airbus A330-300 (333),38,18.3,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,SAS Airlines
2209,Airbus A340-300 (343),38,18.3,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,SAS Airlines
2210,Airbus A350-900 (359),38,18.8,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,SAS Airlines
2211,Airbus A330-300 (333),77,23-24,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,SAS Airlines
2212,Airbus A340-300 (343),61,20-23,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,SAS Airlines
2213,Airbus A350-900 (359),77,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,SAS Airlines
2214,Airbus A319 (319),31,18,Standard,Overhead TV,None,None,No,Economy class,SAS Airlines
2215,Airbus A320 (320),31-32,18,Standard,None,None,None,No,Economy class,SAS Airlines
2216,Airbus A320neo (320),30-31,18,Standard,None,None,None,No,Economy class,SAS Airlines
2217,Airbus A321 (321),31,18,Standard,None,None,None,No,Economy class,SAS Airlines
2218,Boeing 737-600 (736) Layout 1,31,17-18,Standard,None,None,None,No,Economy class,SAS Airlines
2219,Boeing 737-600 (736) Layout 2,31,17.3,Standard,None,None,None,No,Economy class,SAS Airlines
2220,Boeing 737-700 (737) Layout 1,30-32,17.3,Standard,None,None,None,No,Economy class,SAS Airlines
2221,Boeing 737-700 (737) Layout 2,31-33,17.3,Standard,None,None,None,No,Economy class,SAS Airlines
2222,Boeing 737-800 (738),30-32,17.3,Standard,None,None,None,No,Economy class,SAS Airlines
2223,Bombardier CRJ-900 (CR9),31,17,Standard,None,None,None,No,Economy class,SAS Airlines
2224,Airbus A330-300 (333) Layout 1,32,16.9-17.3,Standard,Overhead TV,None,None,No,Economy class,Saudia
2225,Airbus A330-300 (33D) Layout 2,32,16.9-17.3,Standard,On-Demand TV,None,None,No,Economy class,Saudia
2226,Airbus A330-300 (33R) Layout 3,32,16.9-17.29,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Saudia
2227,Boeing 777-200 (772) Three Class,32,16.5-18,Standard,On-Demand TV,None,None,No,Economy class,Saudia
2228,Boeing 777-200 (772) Two Class,32,16.5-18,Standard,On-Demand TV,None,None,No,Economy class,Saudia
2229,Boeing 777-300 (773) Three Class Layout 1,32,18.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Saudia
2230,Boeing 777-300 (773) Three Class Layout 2,32,18,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Saudia
2231,Boeing 777-300 (773) Two Class,32,16.8,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Saudia
2232,Boeing 787-10 (781),32-36,16.3-17.3,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Saudia
2233,Boeing 787-9 (789),32-33,17.8-18.3,Standard,On-Demand TV,None,None,No,Economy class,Saudia
2234,Airbus A330-300 (333) Layout 1,54,18.8,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2235,Airbus A330-300 (33D) Layout 2,60,19.7,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2236,Airbus A330-300 (33R) Layout 3,60,18.77,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2237,Boeing 777-200 (772) Three Class,58,19.5,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2238,Boeing 777-200 (772) Two Class,58,19.5,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2239,Boeing 777-300 (773) Three Class Layout 1,60,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2240,Boeing 777-300 (773) Three Class Layout 2,60,21.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2241,Boeing 777-300 (773) Two Class,61,21.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2242,Boeing 787-10 (781),47,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2243,Boeing 787-9 (789),47,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2244,Boeing 777-200 (772) Three Class,79,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,First class,Saudia
2245,Boeing 777-300 (773) Three Class Layout 1,81,22,Flat Bed,On-Demand TV,All Seats,AC Power,No,First class,Saudia
2246,Boeing 777-300 (773) Three Class Layout 2,81,22,Flat Bed,On-Demand TV,All Seats,AC Power,No,First class,Saudia
2247,Airbus A320 (320) Layout 1,32-33,17.8-18.3,Standard,Overhead TV,None,None,No,Economy class,Saudia
2248,Airbus A320 (320) Layout2,32,17.8-18.3,Standard,Overhead TV,None,None,No,Economy class,Saudia
2249,Airbus A321 (321),32-33,17.8,Standard,Overhead TV,None,None,No,Economy class,Saudia
2250,Airbus A319 (319),45,21,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2251,Airbus A320 (320) Layout 1,45,21,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2252,Airbus A320 (320) Layout2,54,21,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2253,Airbus A321 (321),46,21,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Saudia
2254,Boeing 787-8 (788) Layout 1,31,18.9-19.7,Standard,None,All Seats,AC Power,No,Economy class,Scoot Airlines
2255,Boeing 787-8 (788) Layout 1,34-36,18.9-19.7,Standard,None,All Seats,AC Power,No,Economy class,Scoot Airlines
2256,Boeing 787-8 (788) Layout 2,31,18.9-19.7,Standard,None,None,None,No,Economy class,Scoot Airlines
2257,Boeing 787-8 (788) Layout 2,34-36,18.9-19.7,Standard,None,None,None,No,Economy class,Scoot Airlines
2258,Boeing 787-9 (789),31,18,Standard,None,All Seats,AC Power,No,Economy class,Scoot Airlines
2259,Boeing 787-9 (789),34-36,18,Standard,None,All Seats,AC Power,No,Economy class,Scoot Airlines
2260,Boeing 787-8 (788) Layout 1,38,22,Recliner,None,All Seats,AC Power,No,Business class,Scoot Airlines
2261,Boeing 787-8 (788) Layout 2,38,22,Recliner,None,None,None,No,Business class,Scoot Airlines
2262,Boeing 787-9 (789),38,18.5-19.5,Recliner,None,All Seats,AC Power,No,Business class,Scoot Airlines
2263,Airbus 319 (319),28,18,Standard,None,All Seats,AC Power,No,Economy class,Scoot Airlines
2264,Airlines 320 (320),28,18,Standard,None,All Seats,AC Power,No,Economy class,Scoot Airlines
2265,Airbus A330-200 (332),32-33,17.8,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Shanghai Airlines
2266,Airbus A330-300 (333),32-33,17.8,Standard,Seatback TV,None,None,No,Economy class,Shanghai Airlines
2267,Boeing 767-300 (763),31,17.0,Standard,Overhead TV,None,None,No,Economy class,Shanghai Airlines
2268,Airbus A330-200 (332),58,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Shanghai Airlines
2269,Airbus A330-300 (333),58,20.0,Angle Lie Flat,Seatback TV,All Seats,AC Power,No,Business class,Shanghai Airlines
2270,Boeing 767-300 (763),57,21.0,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Shanghai Airlines
2271,Boeing 737-700 (737),31,17.0,Standard,Overhead TV,None,None,No,Economy class,Shanghai Airlines
2272,Boeing 737-800 (738),31,17.0,Standard,Overhead TV,None,None,No,Economy class,Shanghai Airlines
2273,Boeing 737-700 (737),36,20.0,Recliner,Overhead TV,All Seats,AC Power,No,Business class,Shanghai Airlines
2274,Boeing 737-800 (738),36,20.0,Recliner,Overhead TV,All Seats,AC Power,No,Business class,Shanghai Airlines
2275,Airbus A319 (319),31,18,Standard,Overhead TV,None,None,No,Economy class,SilkAir
2276,Airbus A320 (320),31,18,Standard,Overhead TV,None,None,No,Economy class,SilkAir
2277,Boeing 737 MAX 8 (7M8),30,17,Standard,None,None,None,No,Economy class,SilkAir
2278,Boeing 737-800 (738),30,17,Standard,Overhead TV,All Seats,AC Power,No,Economy class,SilkAir
2279,Airbus A319 (319),40,20,Recliner,Overhead TV,None,None,No,Business class,SilkAir
2280,Airbus A320 (320),40,20,Recliner,Overhead TV,None,None,No,Business class,SilkAir
2281,Boeing 737 MAX 8 (7M8),49,22,Recliner,None,All Seats,AC Power,No,Business class,SilkAir
2282,Boeing 737-800 (738),38,22,Recliner,Overhead TV,All Seats,AC Power,No,Business class,SilkAir
2283,ATR 42-600 (ATR),31-33,18.5,Standard,None,None,None,No,Economy class,Silver Airways
2284,ATR 72-600 (ATR),31-33,18.5,Standard,None,None,None,No,Economy class,Silver Airways
2285,Saab 340 B (SFB),31-33,18.5,Standard,None,None,None,No,Economy class,Silver Airways
2286,Seaborne - DHC-6 Twin Otter Seaplane (DHT),30-40,17.0,Standard,None,None,None,No,Economy class,Silver Airways
2287,Seaborne - Saab 340B (SFB),31-33,18.5,Standard,None,None,None,No,Economy class,Silver Airways
2288,Airbus A330-300 (333),32,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Singapore Air
2289,Airbus A350-900 (359) Layout 1,32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Singapore Air
2290,Airbus A350-900 (359) Layout 2,32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Singapore Air
2291,Airbus A380-800 (388) Layout 1,32,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Singapore Air
2292,Airbus A380-800 (388) Layout 2,32,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Singapore Air
2293,Airbus A380-800 (388) Layout 3,32,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Singapore Air
2294,Boeing 777-200 (772),34,17.5,Standard,On-Demand TV,None,None,No,Economy class,Singapore Air
2295,Boeing 777-200ER (772) Layout 1,32,19.0,Standard,On-Demand TV,None,None,No,Economy class,Singapore Air
2296,Boeing 777-200ER (772) Layout 2,34,17.5,Standard,On-Demand TV,None,None,No,Economy class,Singapore Air
2297,Boeing 777-300 (773),32,19.0,Standard,On-Demand TV,None,None,No,Economy class,Singapore Air
2298,Boeing 777-300ER (77W) Four Class,32,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Singapore Air
2299,Boeing 777-300ER (77W) Three Class,32,19.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Singapore Air
2300,Boeing 787-10 (781),32,17.5,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Singapore Air
2301,Airbus A350-900 (359) Layout 1,38,19.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Singapore Air
2302,Airbus A350-900 ULR,38,19.5,Recliner,Yes,All Seats,AC Power,No,Premium Economy,Singapore Air
2303,Airbus A380-800 (388) Layout 1,38,19.5,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Singapore Air
2304,Airbus A380-800 (388) Layout 2,38,19.5,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Singapore Air
2305,Airbus A380-800 (388) Layout 3,38,19.5,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Singapore Air
2306,Boeing 777-300ER (77W) Four Class,38,19.5,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Singapore Air
2307,Airbus A330-300 (333),60,24.5,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2308,Airbus A350-900 (359) Layout 1,60,28.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2309,Airbus A350-900 (359) Layout 2,60,28.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2310,Airbus A350-900 ULR,60,28.0,Flat Bed,Yes,All Seats,AC Power,No,Business class,Singapore Air
2311,Airbus A380-800 (388) Layout 1,55,30.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2312,Airbus A380-800 (388) Layout 2,55,30.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2313,Airbus A380-800 (388) Layout 2,55,30.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2314,Airbus A380-800 (388) Layout 3,55,30.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2315,Airbus A380-800 (388) Layout 3,55,30.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2316,Boeing 777-200 (772),60,24.5,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2317,Boeing 777-200ER (772) Layout 1,76,30.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2318,Boeing 777-200ER (772) Layout 2,57,27.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2319,Boeing 777-300 (773),60,24.5,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2320,Boeing 777-300ER (77W) Four Class,55,28.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2321,Boeing 777-300ER (77W) Three Class,51,30.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2322,Boeing 787-10 (781),60,30.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Singapore Air
2323,Airbus A380-800 (388) Layout 1,81,35.0,Closed Suite,On-Demand TV,All Seats,AC Power,No,First class,Singapore Air
2324,Airbus A380-800 (388) Layout 2,81,35.0,Closed Suite,On-Demand TV,All Seats,AC Power,No,First class,Singapore Air
2325,Airbus A380-800 (388) Layout 3,81,35.0,Closed Suite,On-Demand TV,All Seats,AC Power,No,First class,Singapore Air
2326,Boeing 777-300 (773),71,35.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,First class,Singapore Air
2327,Boeing 777-300ER (77W) Four Class,81,35.0,Open Suite,On-Demand TV,All Seats,AC Power,No,First class,Singapore Air
2328,Boeing 777-300ER (77W) Three Class,71,35.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,First class,Singapore Air
2329,Boeing 777-300ER (777),32,17.2,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Skylanes
2330,Boeing 777-300ER (777),38,17.2,Standard,On-Demand TV,All Seats,AC Power,No,Premium Economy,Skylanes
2331,Boeing 777-300ER (777),78,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Skylanes
2332,Boeing 777-300ER (777),81,36.0,Open Suite,On-Demand TV,All Seats,AC Power,No,First class,Skylanes
2333,Boeing 737 MAX 8 (7M8),30,17.2,Standard,Overhead TV,All Seats,AC Power,No,Economy class,Skylanes
2334,Boeing 737 MAX 8 (7M8),30,,Standard,Overhead TV,All Seats,AC Power,No,Economy class,Skylanes
2335,Boeing 737-800 (738),32,17.2,Standard,Overhead TV,None,None,No,Economy class,Skylanes
2336,Boeing 737 MAX 8 (7M8),32,17.2,Standard,Overhead TV,All Seats,AC Power,No,Premium Economy,Skylanes
2337,Boeing 737 MAX 8 (7M8),38,21.0,Recliner,Overhead TV,All Seats,AC Power,No,Business class,Skylanes
2338,Airbus A330-200 (332),31-32,17.5,Standard,On-Demand TV,None,None,No,Economy class,South African Airways
2339,Airbus A330-300 (333),30-32,17.5,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,South African Airways
2340,Airbus A340-200 (342),32,17.0,Standard,Overhead TV,None,None,No,Economy class,South African Airways
2341,Airbus A340-300 (343) Layout 1,33.5,17.0,Standard,On-Demand TV,None,None,No,Economy class,South African Airways
2342,Airbus A340-300 (343) Layout 2,31-33,17.0,Standard,On-Demand TV,None,None,No,Economy class,South African Airways
2343,Airbus A340-600 (346),33.5,17.0,Standard,On-Demand TV,None,None,No,Economy class,South African Airways
2344,Airbus A330-200 (332),74,24.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,South African Airways
2345,Airbus A330-300 (333),45,24.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,South African Airways
2346,Airbus A340-200 (342),73,23.7,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,South African Airways
2347,Airbus A340-300 (343) Layout 1,73,23.7,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,South African Airways
2348,Airbus A340-300 (343) Layout 2,73,23.7,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,South African Airways
2349,Airbus A340-600 (346),73,23.7,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,South African Airways
2350,Airbus A319 (319),31-32,17.0,Standard,Overhead TV,None,None,No,Economy class,South African Airways
2351,Airbus A320 (320),31-32,18.0,Standard,Overhead TV,All Seats,AC Power,No,Economy class,South African Airways
2352,Boeing 737-800 (738),31-32,17.0,Standard,Overhead TV,None,None,No,Economy class,South African Airways
2353,Airbus A319 (319),35-36,18.0,Recliner,Overhead TV,All Seats,AC Power,No,Business class,South African Airways
2354,Airbus A320 (320),35-36,18.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,South African Airways
2355,Boeing 737-800 (738),36,20.5,Recliner,Overhead TV,All Seats,AC Power,No,Business class,South African Airways
2356,Boeing 737 MAX 8 (7M8),32-33,17.8,Standard,None,None,None,No,Economy class,Southwest Airlines
2357,Boeing 737-700 (737),31,17.0,Standard,None,None,None,No,Economy class,Southwest Airlines
2358,Boeing 737-800 (738),32-33,17.0,Standard,None,None,None,No,Economy class,Southwest Airlines
2359,Boeing 737-700 Layout 1,28-31,17.0,Standard,None,None,None,No,Economy class,SpiceJet
2360,Boeing 737-700 Layout 2,32,19.0,Recliner,None,None,None,No,Economy class,SpiceJet
2361,Boeing 737-700 Layout 2,28-30,17.0,Standard,None,None,None,No,Economy class,SpiceJet
2362,Boeing 737-800 (738),29,17.0,Standard,None,None,None,No,Economy class,SpiceJet
2363,Boeing 737-900ER (739),29,17.0,Standard,None,None,None,No,Economy class,SpiceJet
2364,Bombardier Q400 (DH4),30,17.0,Standard,None,None,None,No,Economy class,SpiceJet
2365,Airbus A319-100 (319),36,20.0,Standard,None,None,None,No,Economy class,Spirit Airlines
2366,Airbus A319-100 (319),28-34,17.75,Standard,None,None,None,No,Economy class,Spirit Airlines
2367,Airbus A320-200 (320) Layout 1,36,20.0,Standard,None,None,None,No,Economy class,Spirit Airlines
2368,Airbus A320-200 (320) Layout 1,28-34,17.75,Standard,None,None,None,No,Economy class,Spirit Airlines
2369,Airbus A320-200 (320) Layout 2,28-34,17.75,Standard,None,None,None,No,Economy class,Spirit Airlines
2370,Airbus A320neo (320),36,20.0,Standard,None,None,None,No,Economy class,Spirit Airlines
